Rank,Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,,,,,,
29,2018,17,6,11,0.353,19-23,0.452,204-217,0.485,45414,0.714,17,0.754,0.197,0.079,0.054,0.616,0.688,0.503,0.617,0.37,0.494,0.97,,,,,,
30,2023,62,37,25,0.597,87-68,0.561,818-783,0.511,20-19,0.513,59,0.864,0.158,0.106,0.041,0.635,0.763,0.518,0.674,0.337,0.505,1.03,,,,,,
30,2022,43,17,26,0.395,51-60,0.459,551-589,0.483,13-12,0.52,38,0.807,0.155,0.081,0.036,0.627,0.722,0.511,0.643,0.341,0.492,0.96,,,,,,
30,2021,11,5,6,0.455,13-18,0.419,149-172,0.464,45416,0.556,11,0.814,0.108,0.092,0.04,0.661,0.708,0.524,0.646,0.315,0.485,0.89,,,,,,
30,2020,3,0,3,0,0-7,0,26-44,0.371,0-2,0,3,0.706,0.059,0.042,0.05,0.618,0.687,0.407,0.58,0.245,0.43,0.58,,,,,,
30,2019,4,1,3,0.25,45389,0.364,54-60,0.474,45293,0.333,4,0.804,0.145,0.099,0.02,0.706,0.716,0.471,0.644,0.314,0.485,0.88,,,,,,
30,2018,2,1,1,0.5,45325,0.4,20-23,0.465,0-0,-,2,0.727,0.19,0.033,0.008,0.678,0.695,0.513,0.636,0.344,0.49,0.95,,,,,,
31,2023,57,30,27,0.526,79-72,0.523,758-721,0.513,45645,0.387,56,0.813,0.214,0.076,0.02,0.645,0.709,0.529,0.645,0.374,0.508,1.06,,,,,,
31,2022,17,3,14,0.176,12724,0.244,178-253,0.413,45325,0.4,17,0.692,0.14,0.049,0.032,0.676,0.632,0.489,0.586,0.322,0.458,0.78,,,,,,
31,2021,3,1,2,0.333,45355,0.429,36-37,0.493,45292,0.5,3,0.778,0.2,0.044,0.013,0.72,0.679,0.476,0.622,0.402,0.505,1.07,,,,,,
32,2023,62,36,26,0.581,85-66,0.563,771-741,0.51,17-13,0.567,61,0.818,0.202,0.078,0.034,0.615,0.721,0.522,0.644,0.36,0.504,1.01,,,,,,
32,2022,46,21,25,0.457,53-62,0.461,598-593,0.502,45496,0.233,44,0.81,0.202,0.074,0.045,0.614,0.725,0.493,0.636,0.347,0.495,0.95,,,,,,
32,2021,49,23,26,0.469,61-69,0.469,631-635,0.498,45454,0.353,49,0.764,0.234,0.061,0.047,0.591,0.698,0.508,0.62,0.381,0.501,1.01,,,,,,
32,2020,22,13,9,0.591,30-25,0.545,270-266,0.504,45448,0.545,22,0.735,0.267,0.058,0.052,0.595,0.701,0.48,0.612,0.396,0.502,1.02,,,,,,
32,2019,41,20,21,0.488,46-54,0.46,487-522,0.483,45577,0.455,40,0.762,0.204,0.067,0.038,0.607,0.696,0.499,0.619,0.363,0.491,0.95,,,,,,
32,2018,31,13,18,0.419,33-49,0.402,406-462,0.468,45641,0.444,31,0.797,0.149,0.066,0.042,0.593,0.724,0.5,0.633,0.351,0.489,0.96,,,,,,
33,2024,9,6,3,0.667,14-9,0.609,119-99,0.546,36526,1,9,0.855,0.231,0.101,0.059,0.618,0.763,0.522,0.671,0.371,0.518,1.13,,,,,,
33,2023,42,25,17,0.595,50-40,0.556,453-437,0.509,45510,0.571,40,0.82,0.19,0.084,0.043,0.612,0.742,0.495,0.646,0.351,0.501,0.99,,,,,,
33,2022,1,0,1,0,45293,0.333,15-19,0.441,45292,0.5,1,0.75,0.125,0.088,0.053,0.584,0.727,0.404,0.593,0.343,0.471,0.84,,,,,,
34,2023,41,21,20,0.512,60-57,0.513,604-612,0.497,21-13,0.618,41,0.857,0.121,0.133,0.034,0.688,0.739,0.524,0.672,0.308,0.495,0.94,,,,,,
34,2022,10,4,6,0.4,45580,0.4,130-138,0.485,45327,0.286,10,0.871,0.107,0.138,0.044,0.685,0.755,0.483,0.669,0.294,0.49,0.89,,,,,,
34,2021,5,1,4,0.2,45391,0.308,62-71,0.466,0-3,0,5,0.831,0.121,0.111,0.03,0.704,0.699,0.533,0.65,0.32,0.484,0.91,,,,,,
34,2020,1,0,1,0,45294,0.25,15-23,0.395,0-1,0,1,0.778,0.053,0.19,0.034,0.69,0.675,0.417,0.595,0.297,0.444,0.73,,,,,,
34,2019,8,2,6,0.25,45549,0.391,116-128,0.475,45386,0.5,8,0.803,0.149,0.124,0.059,0.643,0.778,0.474,0.669,0.32,0.49,0.97,,,,,,
34,2018,1,0,1,0,45293,0.333,14-16,0.467,0-0,-,1,0.733,0.2,0.171,0.039,0.618,0.766,0.483,0.658,0.36,0.497,1.05,,,,,,
35,2023,39,20,19,0.513,55-45,0.55,503-465,0.52,45510,0.571,39,0.815,0.216,0.076,0.044,0.636,0.732,0.518,0.654,0.366,0.512,1.06,,,,,,
35,2022,16,9,7,0.563,21-17,0.553,209-193,0.52,45390,0.333,15,0.856,0.195,0.093,0.039,0.63,0.751,0.519,0.665,0.364,0.51,1.09,,,,,,
35,2021,6,2,4,0.333,45546,0.45,103-100,0.507,45326,0.333,6,0.768,0.265,0.064,0.027,0.638,0.695,0.475,0.616,0.379,0.5,0.99,,,,,,
35,2020,2,1,1,0.5,45324,0.5,20-19,0.513,0-0,-,2,0.737,0.3,0.018,0.009,0.595,0.636,0.644,0.64,0.427,0.52,1.18,,,,,,
36,2023,27,13,14,0.481,34-41,0.453,359-393,0.477,45509,0.615,26,0.732,0.22,0.072,0.04,0.573,0.712,0.475,0.611,0.374,0.493,0.96,,,,,,
36,2022,3,1,2,0.333,45357,0.333,36-49,0.424,0-0,-,3,0.69,0.163,0.044,0.033,0.548,0.718,0.415,0.581,0.339,0.463,0.81,,,,,,
36,2021,5,2,3,0.4,45418,0.455,59-60,0.496,45293,0.333,5,0.898,0.131,0.108,0.033,0.572,0.78,0.529,0.673,0.291,0.495,0.89,,,,,,
36,2020,2,1,1,0.5,45354,0.5,32-32,0.5,45292,0.5,2,0.677,0.323,0.056,0.061,0.549,0.658,0.458,0.568,0.418,0.496,0.97,,,,,,
36,2019,3,1,2,0.333,45326,0.333,26-36,0.419,36557,1,2,0.714,0.1,0.076,0.048,0.524,0.697,0.536,0.621,0.317,0.48,0.84,,,,,,
36,2018,4,1,3,0.25,45328,0.25,31-43,0.419,0-1,0,4,0.75,0.108,0.111,0.025,0.628,0.712,0.5,0.633,0.272,0.451,0.74,,,,,,
37,2023,44,18,26,0.409,49-59,0.454,509-531,0.489,45357,0.333,43,0.78,0.214,0.056,0.041,0.589,0.713,0.517,0.632,0.369,0.499,1,,,,,,
37,2022,58,31,27,0.534,73-66,0.525,694-663,0.511,45607,0.5,55,0.786,0.241,0.059,0.033,0.62,0.717,0.514,0.64,0.381,0.508,1.06,,,,,,
37,2021,48,25,23,0.521,67-61,0.523,642-623,0.508,45576,0.476,48,0.789,0.23,0.047,0.03,0.623,0.698,0.523,0.632,0.375,0.505,1.02,,,,,,
37,2020,33,19,14,0.576,47-41,0.534,449-422,0.515,45511,0.533,33,0.78,0.25,0.046,0.026,0.601,0.699,0.515,0.626,0.386,0.506,1.03,,,,,,
37,2019,40,19,21,0.475,54-54,0.5,533-533,0.5,45634,0.6,40,0.773,0.227,0.049,0.032,0.631,0.703,0.521,0.636,0.375,0.502,1.03,,,,,,
37,2018,2,1,1,0.5,45386,0.5,39-40,0.494,36526,1,2,0.744,0.231,0.039,0.035,0.598,0.719,0.476,0.621,0.404,0.508,1.07,,,,,,
38,2023,41,22,19,0.537,56-49,0.533,536-518,0.509,14-12,0.538,41,0.821,0.186,0.076,0.063,0.593,0.754,0.5,0.651,0.349,0.503,1,,,,,,
38,2022,46,17,29,0.37,53-70,0.431,585-631,0.481,45548,0.409,46,0.749,0.221,0.054,0.057,0.594,0.688,0.489,0.607,0.374,0.491,0.95,,,,,,
38,2021,54,34,20,0.63,85-59,0.59,721-637,0.531,45452,0.4,52,0.805,0.262,0.06,0.048,0.596,0.721,0.53,0.644,0.387,0.514,1.09,,,,,,
38,2020,5,2,3,0.4,45450,0.462,66-66,0.5,45292,0.5,5,0.813,0.197,0.069,0.057,0.548,0.743,0.479,0.624,0.373,0.499,0.99,,,,,,
39,2023,41,22,19,0.537,51-50,0.505,500-514,0.493,14-7,0.667,39,0.795,0.175,0.064,0.027,0.601,0.738,0.496,0.641,0.35,0.495,0.98,,,,,,
39,2022,33,20,13,0.606,49-36,0.576,423-420,0.502,13-4,0.765,28,0.826,0.16,0.085,0.023,0.62,0.735,0.539,0.66,0.346,0.502,1.02,,,,,,
39,2021,9,6,3,0.667,14-7,0.667,116-105,0.525,45383,0.8,9,0.862,0.168,0.129,0.028,0.669,0.756,0.578,0.697,0.349,0.517,1.15,,,,,,
39,2020,28,16,12,0.571,38-34,0.528,376-356,0.514,45513,0.471,28,0.803,0.223,0.076,0.024,0.634,0.723,0.497,0.64,0.361,0.504,1,,,,,,
39,2019,50,27,23,0.54,71-64,0.526,693-670,0.508,15-14,0.517,49,0.834,0.186,0.085,0.028,0.627,0.74,0.532,0.662,0.354,0.506,1.05,,,,,,
39,2018,60,40,20,0.667,95-58,0.621,821-665,0.552,45517,0.381,60,0.846,0.261,0.079,0.025,0.644,0.737,0.555,0.672,0.384,0.525,1.17,,,,,,
40,2023,35,20,15,0.571,51-44,0.537,473-464,0.505,45601,0.688,35,0.805,0.194,0.061,0.038,0.58,0.69,0.535,0.625,0.368,0.501,0.98,,,,,,
40,2022,4,0,4,0,45331,0.182,34-46,0.425,0-0,-,4,0.804,0.125,0.073,0.038,0.669,0.712,0.495,0.64,0.318,0.477,0.88,,,,,,
41,2023,61,33,28,0.541,77-68,0.531,733-692,0.514,45579,0.417,60,0.781,0.246,0.065,0.031,0.637,0.697,0.506,0.628,0.388,0.505,1.04,,,,,,
41,2022,54,26,28,0.481,72-68,0.514,693-674,0.507,45639,0.48,54,0.773,0.241,0.065,0.025,0.651,0.688,0.505,0.624,0.378,0.503,1,,,,,,
41,2021,37,18,19,0.486,51-48,0.515,498-496,0.501,45510,0.571,36,0.796,0.207,0.076,0.027,0.648,0.7,0.525,0.638,0.37,0.502,1.02,,,,,,
41,2020,12,4,8,0.333,15-21,0.417,159-181,0.468,45324,0.5,12,0.717,0.218,0.057,0.025,0.647,0.655,0.495,0.598,0.378,0.487,0.94,,,,,,
41,2019,22,10,12,0.455,27-32,0.458,263-300,0.467,45386,0.5,22,0.752,0.189,0.053,0.031,0.62,0.677,0.51,0.613,0.351,0.485,0.91,,,,,,
41,2018,22,9,13,0.409,31-35,0.47,318-335,0.487,45446,0.667,22,0.816,0.168,0.053,0.042,0.645,0.707,0.512,0.638,0.343,0.492,0.95,,,,,,
42,2023,47,24,23,0.511,63-62,0.504,653-653,0.5,17-15,0.531,46,0.845,0.154,0.116,0.033,0.617,0.764,0.497,0.662,0.337,0.501,1,,,,,,
42,2022,22,5,17,0.227,18-38,0.321,269-319,0.457,45452,0.4,22,0.799,0.122,0.102,0.045,0.611,0.729,0.47,0.629,0.327,0.48,0.88,,,,,,
42,2021,44,22,22,0.5,56-57,0.496,588-594,0.497,23-13,0.639,44,0.83,0.162,0.111,0.045,0.593,0.746,0.525,0.656,0.34,0.498,0.99,,,,,,
42,2020,7,2,5,0.286,45486,0.35,87-103,0.458,45325,0.4,7,0.804,0.108,0.096,0.057,0.628,0.723,0.509,0.644,0.319,0.484,0.89,,,,,,
42,2019,30,12,18,0.4,36-43,0.456,401-430,0.483,13-10,0.565,30,0.818,0.147,0.093,0.043,0.61,0.737,0.517,0.651,0.328,0.492,0.94,,,,,,
42,2018,6,1,5,0.167,45393,0.267,58-87,0.4,45323,0.667,6,0.686,0.111,0.117,0.069,0.558,0.713,0.42,0.583,0.293,0.445,0.7,,,,,,
43,2023,34,16,18,0.471,45-48,0.484,469-477,0.496,45637,0.522,33,0.802,0.191,0.051,0.024,0.611,0.714,0.516,0.637,0.364,0.499,1,,,,,,
43,2022,46,26,20,0.565,64-53,0.547,593-552,0.518,45573,0.556,43,0.796,0.237,0.083,0.034,0.599,0.743,0.495,0.644,0.381,0.511,1.07,,,,,,
43,2021,29,15,14,0.517,36-38,0.486,377-359,0.512,45422,0.333,29,0.809,0.222,0.097,0.033,0.579,0.727,0.508,0.635,0.37,0.503,1.01,,,,,,
43,2020,7,3,4,0.429,45487,0.333,87-115,0.431,36586,1,7,0.733,0.12,0.05,0.042,0.523,0.686,0.505,0.599,0.321,0.467,0.8,,,,,,
43,2019,16,10,6,0.625,24-20,0.545,239-224,0.516,45481,0.467,16,0.813,0.22,0.102,0.031,0.581,0.757,0.504,0.651,0.372,0.507,1.06,,,,,,
43,2018,15,8,7,0.533,19-18,0.514,192-180,0.516,45326,0.333,14,0.782,0.259,0.079,0.045,0.587,0.716,0.473,0.616,0.39,0.505,1.01,,,,,,
44,2023,30,10,20,0.333,30-47,0.39,377-414,0.477,45363,0.2,30,0.79,0.179,0.111,0.033,0.6,0.732,0.477,0.63,0.346,0.489,0.94,,,,,,
44,2022,8,2,6,0.25,45488,0.318,88-120,0.423,0-2,0,7,0.685,0.198,0.096,0.02,0.63,0.674,0.414,0.577,0.353,0.464,0.84,,,,,,
44,2021,11,6,5,0.545,14-14,0.5,125-145,0.463,45323,0.667,9,0.743,0.205,0.089,0.031,0.565,0.732,0.459,0.613,0.37,0.487,0.96,,,,,,
44,2020,1,0,1,0,0-3,0,45645,0.387,0-1,0,1,0.667,0.133,0.028,0.028,0.67,0.592,0.486,0.557,0.319,0.447,0.72,,,,,,
44,2018,1,0,1,0,0-2,0,45424,0.294,0-0,-,1,0.444,0.125,0.113,0.019,0.698,0.541,0.438,0.509,0.318,0.423,0.65,,,,,,
45,2023,58,29,29,0.5,72-76,0.486,722-724,0.499,45580,0.4,58,0.824,0.176,0.072,0.025,0.664,0.723,0.522,0.656,0.347,0.501,1.01,,,,,,
45,2022,55,26,29,0.473,76-69,0.524,742-712,0.51,17-13,0.567,53,0.811,0.202,0.072,0.022,0.69,0.714,0.501,0.648,0.362,0.506,1.03,,,,,,
45,2021,54,30,24,0.556,77-63,0.55,735-677,0.521,14-12,0.538,52,0.832,0.208,0.076,0.022,0.665,0.723,0.523,0.656,0.362,0.508,1.05,,,,,,
45,2020,26,12,14,0.462,30-34,0.469,317-320,0.498,45512,0.5,26,0.814,0.181,0.062,0.025,0.642,0.726,0.494,0.643,0.348,0.497,0.97,,,,,,
45,2019,43,20,23,0.465,48-55,0.466,522-544,0.49,14-14,0.5,43,0.83,0.148,0.085,0.025,0.626,0.744,0.519,0.66,0.339,0.498,1,,,,,,
45,2018,11,5,6,0.455,15-20,0.429,164-189,0.465,45415,0.625,11,0.792,0.128,0.081,0.028,0.627,0.727,0.498,0.641,0.311,0.483,0.87,,,,,,
46,2023,42,19,23,0.452,51-52,0.495,518-516,0.501,14-11,0.56,42,0.836,0.164,0.11,0.016,0.593,0.743,0.556,0.667,0.348,0.503,1.04,,,,,,
46,2022,28,11,17,0.393,32-44,0.421,340-384,0.47,45356,0.375,27,0.767,0.164,0.09,0.023,0.644,0.713,0.47,0.627,0.338,0.483,0.91,,,,,,
46,2021,42,21,21,0.5,49-58,0.458,517-563,0.479,14-8,0.636,42,0.771,0.184,0.089,0.024,0.581,0.724,0.502,0.631,0.359,0.494,0.97,,,,,,
46,2020,23,11,12,0.478,31-32,0.492,297-311,0.488,45447,0.6,23,0.777,0.195,0.063,0.023,0.628,0.708,0.493,0.628,0.359,0.495,0.96,,,,,,
46,2019,46,25,21,0.543,64-58,0.525,640-600,0.516,45520,0.333,46,0.822,0.212,0.074,0.022,0.667,0.714,0.51,0.646,0.362,0.505,1.02,,,,,,
46,2018,14,2,12,0.143,45564,0.237,146-206,0.415,0-4,0,14,0.646,0.191,0.057,0.037,0.677,0.64,0.407,0.565,0.362,0.462,0.83,,,,,,
47,2023,33,16,17,0.485,42-41,0.506,393-414,0.487,45510,0.571,33,0.752,0.214,0.054,0.033,0.586,0.694,0.499,0.613,0.361,0.488,0.93,,,,,,
47,2022,3,0,3,0,0-6,0,20-37,0.351,0-1,0,3,0.571,0.143,0.038,0.033,0.59,0.552,0.46,0.514,0.33,0.43,0.68,,,,,,
48,2023,8,3,5,0.375,45514,0.444,90-103,0.466,45415,0.625,8,0.761,0.161,0.091,0.031,0.635,0.697,0.504,0.627,0.361,0.492,0.97,,,,,,
48,2022,33,17,16,0.515,41-40,0.506,392-372,0.513,45389,0.364,31,0.728,0.288,0.077,0.043,0.639,0.688,0.468,0.609,0.404,0.506,1.03,,,,,,
48,2021,6,2,4,0.333,45421,0.357,54-70,0.435,36526,1,6,0.71,0.148,0.066,0.056,0.63,0.697,0.429,0.598,0.335,0.47,0.83,,,,,,
48,2020,6,3,3,0.5,45513,0.471,85-85,0.5,0-1,0,6,0.826,0.169,0.065,0.025,0.647,0.705,0.562,0.655,0.339,0.499,0.98,,,,,,
49,2023,38,15,23,0.395,45-55,0.45,477-503,0.487,45483,0.412,35,0.789,0.186,0.07,0.027,0.66,0.684,0.511,0.625,0.353,0.491,0.94,,,,,,
49,2022,26,5,21,0.192,18-49,0.269,284-372,0.433,45359,0.273,26,0.719,0.154,0.085,0.033,0.615,0.687,0.457,0.598,0.326,0.465,0.81,,,,,,
49,2021,15,7,8,0.467,17-20,0.459,183-180,0.504,45296,0.167,15,0.775,0.246,0.07,0.037,0.591,0.716,0.467,0.614,0.37,0.497,0.96,,,,,,
49,2020,6,3,3,0.5,45572,0.588,82-85,0.491,45352,0.75,6,0.765,0.22,0.059,0.03,0.579,0.697,0.492,0.61,0.386,0.499,0.99,,,,,,
49,2019,1,0,1,0,0-2,0,45394,0.25,0-0,-,1,0.375,0.125,0.045,0.068,0.591,0.462,0.333,0.409,0.319,0.363,0.54,,,,,,
